species_pre,common_name_pre,mean_pre,species_post,common_name_post,mean_post
Turdus migratorius,American Robin,0.5950979902233928,Turdus migratorius,American Robin,0.6373294179094133
Agelaius phoeniceus,Red-winged Blackbird,0.5399551415502328,Cardinalis cardinalis,Northern Cardinal,0.547452074381093
Cardinalis cardinalis,Northern Cardinal,0.49176961638471234,Agelaius phoeniceus,Red-winged Blackbird,0.5337231949529411
Poecile atricapillus,Black-capped Chickadee,0.42833678416453375,Poecile atricapillus,Black-capped Chickadee,0.4618265955661456
Spinus tristis,American Goldfinch,0.4049803003719089,Spinus tristis,American Goldfinch,0.43314623562557875
Melospiza melodia,Song Sparrow,0.38943620615589336,Cyanocitta cristata,Blue Jay,0.40974704415591295
Zenaida macroura,Mourning Dove,0.380087586370461,Zenaida macroura,Mourning Dove,0.3841371968680189
Cyanocitta cristata,Blue Jay,0.37377748186120546,Corvus brachyrhynchos,American Crow,0.35617191434759116
Branta canadensis,Canada Goose,0.3575460955209938,Melospiza melodia,Song Sparrow,0.35568139906455465
Anas platyrhynchos,Mallard,0.3430585381812625,Branta canadensis,Canada Goose,0.347388357206969
Corvus brachyrhynchos,American Crow,0.3350196154735086,Dryobates pubescens,Downy Woodpecker,0.3444473383583452
Dryobates pubescens,Downy Woodpecker,0.30650329843614404,Anas platyrhynchos,Mallard,0.33786654068006283
Quiscalus quiscula,Common Grackle,0.2815258458614098,Passer domesticus,House Sparrow,0.29852405038906016
Sitta carolinensis,White-breasted Nuthatch,0.2794650652136733,Sitta carolinensis,White-breasted Nuthatch,0.29035314774650495
Melanerpes carolinus,Red-bellied Woodpecker,0.2725740583584884,Melanerpes carolinus,Red-bellied Woodpecker,0.2893784238948637
Passer domesticus,House Sparrow,0.25702257596941547,Quiscalus quiscula,Common Grackle,0.2869056282200437
Dumetella carolinensis,Gray Catbird,0.21449447666299215,Haemorhous mexicanus,House Finch,0.2687992073476334
Sturnus vulgaris,European Starling,0.21317681672597855,Dumetella carolinensis,Gray Catbird,0.2272184552838853
Molothrus ater,Brown-headed Cowbird,0.20415804117405936,Sturnus vulgaris,European Starling,0.21148866373862785
Tachycineta bicolor,Tree Swallow,0.20393323537289884,Molothrus ater,Brown-headed Cowbird,0.21051649003506076
